Problem,Result,Time(s),Facility Status,Customer Status
p1,10220,10.727,1 1 1 1 1 1 1 1 1 1 ,7 8 5 5 3 8 2 4 4 1 9 3 3 2 8 3 4 0 9 7 3 4 6 4 2 6 1 5 0 5 2 6 0 2 9 4 4 3 8 4 3 0 1 5 7 0 4 0 4 0 
p2,9493,11.888,1 1 1 1 1 1 1 1 1 1 ,7 0 1 6 3 8 0 4 4 1 9 7 3 2 8 3 2 0 9 7 3 8 9 4 5 5 3 5 0 5 2 6 3 2 9 4 4 3 0 2 3 8 1 5 7 8 4 3 4 0 
p3,11653,10.831,1 1 1 1 1 1 1 1 1 1 ,1 5 6 9 6 9 4 3 7 6 9 3 4 2 1 5 0 4 3 5 6 4 8 0 6 7 4 5 3 0 8 1 6 4 0 7 7 9 4 7 9 3 6 3 1 4 0 8 1 6 
p4,12577,10.561,1 1 1 1 1 1 1 1 1 1 ,0 4 5 9 3 8 5 4 4 1 9 8 3 9 0 3 4 0 9 7 3 8 6 4 5 5 1 5 8 5 9 6 3 3 9 4 4 3 0 4 1 8 1 5 7 0 4 0 4 0 
p5,14401,2.078,1 1 1 1 1 1 1 1 1 1 ,8 8 1 6 0 0 0 4 4 0 9 8 3 0 8 3 9 0 9 0 5 8 6 4 0 5 3 6 0 5 0 9 9 0 9 0 7 3 0 9 1 8 0 5 7 8 0 0 9 0 
p6,14194,1.985,1 1 1 1 1 1 1 1 1 1 ,0 8 5 0 3 0 0 4 9 5 9 0 0 9 8 0 0 0 9 7 8 8 6 4 0 0 0 5 8 9 9 0 3 3 0 0 7 0 0 4 0 8 0 9 7 0 4 0 7 3 
p7,17046,1.991,1 1 1 1 1 1 1 1 1 1 ,0 0 1 0 5 8 4 4 0 0 0 8 3 0 8 3 0 0 9 9 0 8 6 4 2 0 0 9 8 3 0 6 0 0 9 7 7 9 0 4 0 8 1 0 7 0 9 7 0 3 
p8,16490,1.993,1 1 1 1 1 1 1 1 1 1 ,0 0 1 0 0 0 0 4 7 9 9 8 3 8 8 0 4 0 9 7 3 8 0 4 2 5 0 5 0 5 0 6 0 0 9 7 7 8 8 4 0 8 0 9 7 0 9 0 7 3 
p9,9506,10.765,1 1 1 1 1 1 1 1 1 1 ,8 8 1 5 1 8 2 4 4 1 9 8 3 2 8 3 4 0 9 7 3 8 9 7 2 5 1 5 8 5 2 9 8 0 9 4 4 3 8 4 1 8 1 5 7 0 4 0 4 0 
p10,7955,10.966,1 1 1 1 1 1 1 1 1 1 ,8 8 1 6 3 8 8 4 4 1 9 8 3 4 8 3 4 0 9 7 3 8 6 4 5 5 1 5 8 5 9 6 0 3 9 4 4 3 0 4 1 8 1 5 7 0 4 0 4 0 
