Problem,Result,Time(s),Facility Status,Customer Status
p1,9075,0.729,1 1 1 1 1 1 1 0 1 1 ,2 8 1 6 3 8 2 4 4 1 9 8 0 2 8 3 4 0 9 4 3 2 6 4 2 5 1 5 0 5 2 6 0 3 9 4 4 3 0 4 1 8 1 5 4 0 4 0 4 0 
p2,8315,0.685,1 1 1 1 1 1 1 1 1 0 ,2 8 1 6 1 8 2 4 4 5 4 8 3 2 0 3 4 0 6 7 3 7 6 4 2 5 1 5 0 1 2 6 0 3 4 4 4 3 0 4 1 8 1 5 7 0 4 0 4 0 
p3,10076,0.684,1 1 1 1 1 1 1 0 1 1 ,8 2 1 6 3 8 2 4 4 1 9 0 3 2 0 3 2 8 9 4 3 4 6 4 2 5 1 5 0 5 2 6 0 3 9 4 4 3 0 4 1 0 1 5 4 0 4 0 4 0 
p4,12485,0.694,1 1 1 1 1 1 1 1 1 1 ,2 2 1 6 3 0 2 4 4 1 9 8 3 2 0 0 2 0 9 7 3 8 6 4 2 5 1 5 0 5 2 6 0 3 9 4 4 3 8 4 1 8 1 5 7 0 4 0 4 0 
p5,9571,0.786,1 1 1 1 1 1 1 1 1 1 ,0 2 1 6 3 8 2 4 4 1 9 8 3 2 8 3 2 8 9 7 3 8 6 4 5 5 1 5 0 5 9 6 0 3 9 4 4 3 8 4 1 8 1 5 7 0 2 0 4 0 
p6,8805,0.846,1 1 1 1 1 1 1 1 1 1 ,8 8 1 6 3 3 2 4 4 1 7 8 3 2 8 3 7 0 9 7 1 2 6 4 2 5 1 5 0 5 2 6 0 3 9 4 4 3 0 2 1 8 1 5 7 0 4 0 4 3 
p7,10299,0.868,1 1 1 1 1 1 0 1 1 1 ,8 8 1 2 3 8 2 4 2 5 9 3 0 2 8 3 4 0 9 7 3 8 9 4 2 5 1 5 0 5 2 5 0 3 9 4 7 3 8 4 1 8 1 5 7 0 4 0 4 0 
p8,12277,0.748,1 1 1 1 1 1 1 1 1 1 ,8 2 1 6 3 8 2 4 7 1 9 8 3 2 0 3 2 8 9 7 3 8 6 4 5 5 1 5 0 5 2 6 0 3 9 4 4 3 0 4 1 8 1 5 7 0 9 0 4 0 
p9,8997,0.823,1 1 0 1 1 1 1 1 1 1 ,8 8 1 6 3 8 3 4 4 1 9 8 3 4 8 3 4 0 9 7 3 8 6 4 5 5 1 5 0 5 9 6 0 3 9 4 4 3 0 4 1 8 1 5 7 0 4 0 4 0 
p10,7909,0.728,1 1 1 1 1 1 1 1 1 1 ,8 8 1 6 3 8 2 4 4 1 9 8 3 2 8 1 4 0 9 7 3 8 6 4 2 5 1 5 0 5 2 6 0 3 9 4 4 3 0 4 1 8 1 5 7 0 4 0 4 0 
p11,9801,0.733,1 1 1 1 1 1 1 1 1 0 ,8 8 1 6 3 8 4 4 4 1 4 8 0 2 8 3 2 0 6 7 3 8 6 4 2 5 1 5 0 5 2 6 0 3 4 4 4 3 0 4 1 8 1 5 7 0 4 0 7 0 
p12,11479,0.779,1 1 1 1 1 1 1 0 1 1 ,8 8 1 6 3 8 2 4 4 1 9 8 3 2 8 3 4 0 9 4 3 8 6 9 2 5 1 5 0 5 2 6 0 3 9 4 4 3 0 4 1 8 1 5 4 0 4 0 4 0 
p13,10908,0.839,0 1 1 1 1 1 1 0 0 0 1 0 1 0 1 0 1 0 0 1 ,10 1 10 10 12 19 3 5 12 4 16 2 1 6 2 12 5 10 4 6 12 5 5 19 6 4 16 3 3 4 2 14 2 16 3 10 3 19 19 2 6 16 5 16 3 5 14 10 19 6 
p14,8734,0.714,1 1 0 1 1 1 1 1 0 0 1 0 0 0 1 0 0 0 1 1 ,0 1 10 10 1 18 3 18 7 4 0 4 19 6 18 3 18 10 4 6 14 5 5 19 6 4 0 3 1 4 18 7 18 0 3 10 3 19 19 18 6 0 5 7 3 5 14 10 19 6 
p15,11425,0.877,1 1 1 1 0 0 0 0 0 1 1 0 0 1 1 0 1 0 1 1 ,0 3 10 10 19 18 3 13 14 3 16 19 2 10 13 3 16 14 1 9 18 18 0 19 9 1 16 1 1 3 13 14 2 16 1 10 3 19 19 13 10 0 0 0 3 13 14 10 19 9 
p16,13689,0.765,1 1 1 1 0 1 1 0 0 1 0 0 0 0 1 0 0 1 0 1 ,9 1 0 6 1 1 17 2 14 1 14 19 1 6 2 3 5 14 19 9 1 5 5 19 6 17 0 17 1 17 2 14 2 5 3 6 3 19 19 2 6 0 0 5 3 5 14 6 19 9 
p17,10988,0.715,1 1 1 1 0 1 0 1 1 0 0 0 1 0 1 1 0 1 1 0 ,7 12 7 14 1 18 17 18 14 17 15 1 1 7 2 12 15 7 1 8 14 15 15 2 8 17 0 17 1 17 2 7 2 0 3 14 3 1 1 2 14 0 5 0 8 5 14 7 2 8 
p18,9066,0.705,1 1 0 1 0 0 0 1 0 0 1 1 0 1 1 1 0 1 0 1 ,0 1 7 10 1 15 3 13 15 17 15 1 1 10 14 3 15 7 17 3 14 7 15 19 10 1 0 17 1 17 13 7 13 0 3 10 11 19 19 13 10 0 15 0 11 13 14 10 19 11 
